state_id,lockdown_date,reopen_date,mask_start,mask_end
1,2020-04-30,2021-05-31,2020-07-16,2021-04-09
2,2020-03-13,2021-05-22,null,null
3,2020-03-16,2021-05-21,null,null
4,2020-03-12,2021-05-11,2020-07-20,2020-04-09
5,2020-03-19,2021-06-15,2020-06-18,null
6,2020-03-24,2011-05-17,2020-07-17,2021-05-14
7,2020-03-20,2021-05-20,2020-04-17,null
8,2020-03-23,2021-05-21,2020-05-01,2021-05-21
9,2020-03-24,2021-05-03,null,null
10,2020-03-15,2021-04-24,null,null
11,2020-03-22,2021-07-01,2020-04-20,null
12,2020-03-25,2021-05-21,null,null
13,2020-03-09,2021-06-11,2020-05-01,2021-06-11
14,2020-03-23,2021-06-30,2020-07-27,2021-04-06
15,2020-04-02,2021-05-13,2020-11-17,2021-02-07
16,2020-03-17,2021-05-21,2020-07-03,2021-04-01
17,2020-03-16,2021-06-11,2020-07-10,2021-06-11
18,2020-03-16,2021-05-26,2020-07-13,2021-04-28
19,2020-03-15,2021-05-24,2020-05-01,2021-05-24
20,2020-03-12,2021-05-15,2020-04-18,2021-05-15
21,2020-03-24,2021-05-29,2020-05-06,2021-05-29
22,2020-03-24,2021-07-01,2020-04-26,null
23,2020-03-15,2021-05-28,2020-07-25,2021-05-14
24,2020-03-24,2021-04-25,2020-08-05,2020-09-30
25,2020-03-19,2021-05-17,null,null
26,2020-03-20,2021-02-12,2020-07-15,2021-02-12
27,2020-04-03,2021-05-24,null,null
28,2020-03-17,2021-06-01,2020-06-25,null
29,2020-03-15,2021-05-08,2020-11-20,2021-04-16
30,2020-03-16,2021-06-04,2020-04-10,2021-05-28
31,2020-03-23,2021-06-30,2020-05-15,null
32,2020-03-22,2021-05-19,2020-04-15,null
33,2020-03-27,2021-05-14,2020-06-26,2021-05-14
34,2020-03-19,2021-04-30,2020-11-14,2021-01-18
35,2020-03-12,2021-06-02,2020-07-23,2021-06-02
36,2020-03-25,2021-05-04,null,null
37,2020-03-23,2021-06-30,2020-07-01,null
38,2020-03-16,2021-05-31,2020-04-17,null
39,2020-03-16,2021-05-21,2020-04-20,null
40,2020-03-16,2021-05-11,null,null
41,2020-03-16,null,null,null
42,2020-03-16,2021-05-14,null,null
43,2020-03-19,2021-03-10,2020-07-03,2021-03-10
44,2020-03-16,2021-04-10,2020-11-09,2021-04-10
45,2020-03-16,2021-07-04,2020-08-01,2021-06-14
46,2020-03-12,2021-05-28,2020-05-29,2021-05-15
47,2020-03-23,2021-06-30,2020-06-26,null
48,2020-03-16,2021-04-20,2020-07-07,null
49,2020-03-12,2021-05-20,2020-08-01,2021-03-31
50,2020-03-15,2021-05-21,2020-12-09,2021-03-16
